208,3-5月,6-8天,1000-5000,朋友,上海/东方明珠/田子坊/新天地/南京路步行街/外滩/浦江游览/上海博物馆/人民广场/甜爱路/鲁迅纪念馆/徐家汇天主教堂
209,9-11月,1-2天,1000以内,独行,上海/卢浦大桥
210,6-8月,6-8天,5000-10000,父母,上海/上海科技馆/中华艺术宫/豫园/苏州/虎丘/拙政园/观前街/盘门/龙头岩/福冈/福冈塔/太宰府天满宫/日本/济州岛/九州/东方明珠/上海马戏城/玄妙观/福冈县/关东/太宰府市/鹿儿岛/天神地下街
211,其他,1-2天,1000以内,父母,泰晤士小镇/上海
212,3-5月,1-2天,1000以内,情侣/夫妻,上海/中华艺术宫
213,12-2月,1-2天,1000以内,情侣/夫妻,上海电影博物馆/上海/上海美术电影制片厂
214,12-2月,1-2天,5000-10000,朋友,上海/喜来登/嘉定区/秋霞圃/古猗园/南翔古镇/喜来登/喜来登/喜来登/七宝老街/法华塔/汇龙潭公园
215,6-8月,1-2天,1000以内,独行,四海游龙锅贴水饺店 上海松江新城店
216,12-2月,1-2天,1000-5000,情侣/夫妻,上海瑞金洲际酒店/上海
217,6-8月,3-5天,1000-5000,情侣/夫妻,上海/南京路步行街/中华艺术宫/新天地/南京饭店/外滩/上海博物馆/豫园/田子坊
218,3-5月,6-8天,10000以上,朋友,上海/泰国/曼谷/Royal Benja Hotel/大皇宫/龙虎园/金沙岛/东方公主号/四面佛/骑大象/湄南河/芭提雅
219,6-8月,3-5天,1000-5000,独行,上海/东方明珠/南京路步行街/外滩/人民广场/吴江路/上海野生动物园
220,12-2月,1-2天,1000以内,朋友,双年展/双年展
221,3-5月,3-5天,10000以上,朋友,浙江/台州/仙居/上海/嘉兴/上虞
222,12-2月,1-2天,1000以内,情侣/夫妻,大宁灵石公园/上海/上海植物园
223,6-8月,3-5天,1000以内,朋友,三人行骨头王火锅(东诸安浜路店)/星伯爵/大马可意大利餐厅(京华店)
224,6-8月,9-14天,10000以上,情侣/夫妻,上海/里斯本/卡萨奥利弗精品住宿加早餐旅馆 - 王储花园/老式公寓/波尔图/里斯本万豪酒店/贝伦区/罗卡角/水晶宫/布拉加/Sintra/瓷砖博物馆/圣胡斯塔升降机/贝伦塔/航海纪念碑
225,3-5月,15天以上,10000以上,独行,成都/都江堰/西安/河南/洛阳/登封/上海/南京/山东/曲阜/泰安/蓬莱/华山/时光客栈/钰猫时尚/蓬莱春志渔家公寓/锦里/武侯祠/春熙路/人民公园/青城山/骊山/华清池/西安博物院/陕西历史博物馆/回民街/大唐芙蓉园/大唐不夜城/龙门石窟/嵩山/少林寺/三皇寨/白马寺/隋唐城遗址植物园/周公馆/天主教堂/外滩/上海环球金融中心/南京博物院/中山陵/明孝陵/南京长江大桥/总统府/玄武湖/夫子庙/曲阜三孔/泰山/蓬莱阁/智取华山路/烟台/南京路步行街/宽窄巷子/南桥/安澜索桥/报国寺/秦陵地宫/阿房宫/秦始皇陵/平原/秦兵马俑/曲江池遗址公园/新郑/梁山/玉泉院/苍龙岭/金锁关/长空栈道/鹞子翻身/云梯/龙门山/香山寺/郑州/塔林/峻极峰/连天峰/新天地/田子坊/外白渡桥/东方明珠/博爱/紫霞湖/邹城/济宁/孔庙/孔府/孔林/红门/十八盘/瞻鲁台/玉皇顶/后石坞/尧观顶/天烛峰/蓬莱水城
226,3-5月,1-2天,1000以内,朋友,上海/朱家角/枫泾古镇
227,12-2月,1-2天,1000以内,朋友,1933老场坊/田子坊/石库门/小杨生煎(月星环球港店)
228,3-5月,9-14天,1000-5000,情侣/夫妻,上海/苏州/杭州/西湖/南长街/鼋头渚/杭州仁和饭店/九溪烟树/田子坊/外滩/东方明珠/豫园/锦江之星/观前街/苏州博物馆/拙政园/虎丘/山塘街/金鸡湖/周庄/无锡/清名桥/文化街/太湖仙岛/灵山大佛/灵山/苏堤/平湖秋月/断桥残雪/柳浪闻莺/花港观鱼/双峰插云/南屏晚钟/三潭印月/云栖竹径/满陇桂雨/龙井问茶/吴山天风/阮墩环碧/宝石流霞/西湖游船/中山公园/白堤/孤山公园/中国茶叶博物馆/飞来峰/灵隐寺/梅家坞/杨公堤/郭庄/南园/宋城/吴山广场/南宋御街/新天地/1933老场坊/上海博物馆/上海老街/得月楼/古戏台/上海环球金融中心/外白渡桥/上海杜莎夫人蜡像馆/城隍庙旅游区/留园/狮子林/寒山寺/昆山/小桥流水人家/张厅/沈厅/逸飞之家/南湖/迷楼/沈万三故居/叶楚伧故居/澄虚道院/周庄博物馆/双桥/玄妙观/十全街
229,9-11月,3-5天,1000以内,独行,外滩/上海/苏州河/外白渡桥/半岛酒店/黄浦公园
230,9-11月,3-5天,1000-5000,父母,若尔盖/九寨沟/青城山/都江堰/成都/武侯祠/杜甫草堂/锦里/宽窄巷子/岷山饭店/地球村/春熙路/新天地/五花海/则查洼沟/日则沟/树正沟/原始森林/箭竹海/芳草海/天鹅海/箭竹海瀑布/珍珠滩瀑布/熊猫海/熊猫海瀑布/珍珠滩/镜海/诺日朗瀑布/长海/五彩池/老虎海/犀牛海/火花海/盆景滩/芦苇海/树正群海/卧龙海/边边街/甘海子/甲蕃古城
231,3-5月,9-14天,10000以上,独行,香港天际100观景台/香港国际金融中心商场/浅水湾/香港体育馆/油麻地/重庆大厦/九龙公园/天星小轮/中银大厦/香港会议展览中心/国家大剧院/鸟巢（国家体育场）/外滩/乌镇/三亚湾/大木花谷/东温泉/聂荣臻元帅陈列馆/黑山谷风景区/金佛山/龚滩古镇/白公馆/巫峡/巫山小三峡/神女峰/八大公山自然保护区/竹子岛/神仙半岛/普吉镇/沱江
232,9-11月,15天以上,1000以内,父母,外滩/美兰湖/朱家角/城市展览馆与窗外印象/参观民防馆/世博会址/隧道馆/欢乐谷/2014第一缕阳光/晚霞/广富林遗址公园/冬韵春吟/徐汇滨江/街景/虹桥机场落日/上海博物馆
233,3-5月,6-8天,10000以上,独行,上海/外滩/南京路步行街/人民广场/外白渡桥/文庙/大观园/豫园/老城隍庙/苏州河/东方明珠/滨江大道/黄浦公园/陈毅广场/城隍庙旅游区/古漪园/秋霞圃/九曲桥
234,其他,6-8天,1000-5000,独行,上海/和平饭店/外滩/苏州河/外白渡桥/上海邮政博物馆/静安寺/沐恩堂/马勒别墅
235,9-11月,1-2天,1000以内,父母,红坊/民生现代美术馆/城市雕塑艺术中心
236,12-2月,1-2天,1000以内,情侣/夫妻,上海/枫泾古镇/朱家角
237,6-8月,3-5天,1000-5000,朋友,"上海浦东国际机场T2杭州楼/芽庄金兰国际机场/芽庄海滩/Poseidon hotel Nha Trang/龙山寺/婆那加占婆塔/钟屿石岬角/芽庄哈瓦那酒店/芽庄购物中心/芽庄大排档/Poseidon Hotel/芽庄四岛游/Zallo Buffet/芽庄/Lotus Spa/Poseidon Hotel/塔巴温泉中心/芽庄海滩/""Nha Hang Yens Restaurant""/芽庄夜市/芽庄大教堂/芽庄/纪念品"
238,3-5月,3-5天,1000-5000,朋友,西湖/上海/绍兴/杭州/外滩/鲁迅故居/兰亭/临安/仓桥直街/磁悬浮列车/萧山/诸暨/上虞/咸亨酒店/田子坊/新天地/东方明珠/青藤书屋/百草园/三味书屋/土谷祠/沈园/八字桥/鉴湖/杭州古运河/雷峰塔/三潭印月/太子湾公园/西湖之夜/余杭/白堤/保俶塔
239,9-11月,6-8天,10000以上,情侣/夫妻,上海/新罗免税店/泰迪熊博物馆/首尔/明洞
240,其他,1-2天,1000-5000,情侣/夫妻,田子坊/上海/新天地/淮海路
241,12-2月,6-8天,1000-5000,父母,上海/釜山/福冈/韩国/日本/外滩/长崎/济州岛/龙头岩/跨海大桥/太宗台/人民广场/北海道/太宰府天满宫/九州
242,其他,1-2天,1000-5000,情侣/夫妻,上海/浦东四季酒店/上海四季酒店/人民广场/淮海路
243,3-5月,6-8天,1000-5000,情侣/夫妻,汉泰东南亚风味餐厅 浦东店 Hantai  Asia  Restaurant/古镇老店/吾桑格韩国家庭料理/上海悦创作日本料理
244,6-8月,15天以上,1000以内,朋友,上海/外滩/田子坊/新天地/顾村公园/寻梦园/朱家角/太阳岛/崇明/召稼楼
245,6-8月,1-2天,1000以内,朋友,外滩/瑠RYU/携程APP
246,3-5月,9-14天,1000-5000,朋友,婺源/黄山/上海/迎客松/黑虎松/连理松/飞来石/西海大峡谷/光明顶/海心亭/百步云梯/玉屏楼/天都峰/莲花峰/月亮湾/李坑/江岭/理坑/庆源/鸳鸯湖/文公山/思溪延村/彩虹桥/大鄣山卧龙谷/百柱宗祠/清华镇/上海植物园/俞氏宗祠/江湾景区/歙县/上下晓起/汪口/思溪/思溪大酒店/婺源博物馆/黄山市/屯溪老街/西递/宏村/黟县/南湖/黄山白云宾馆/黄山门/黄山风景区/始信峰/云谷寺/梦笔生花/龙爪松/狮子峰/武松打虎/排云亭/石柱峰/仙人踩高跷/松林峰/牯牛降/徽州古城/渔梁坝/许国石坊/斗山街/陶行知纪念馆/7天/豫园/南京路步行街/外滩/福佑路/人民广场/黄山白云宾馆
247,9-11月,1-2天,1000以内,朋友,长乐路/马勒别墅
248,12-2月,1-2天,1000以内,情侣/夫妻,鲁迅公园/甜爱路/上海
249,6-8月,1-2天,1000以内,朋友,上海/南汇大团桃园/滴水湖
250,3-5月,1-2天,1000以内,朋友,古猗园/上海/唐经幢/静安寺
251,12-2月,1-2天,1000以内,独行,东海观音寺/知青纪念馆/知青广场/海湾园/海湾滨海大道风景/海湾诸景点/海滨五星级宾馆/金山嘴渔村/金山卫火车站/金山卫长途汽车站/乍浦汽车站/南湾景区/南湾炮台/贞女亭和孟姜捣石/红楼梦出海处/在山湾渔业村看海景/山湾渔业村/汤山公园广场看乍浦海湾/汤山公园广场 /汤山景区饭店/乍浦滨海大道（回汽车站）/从金山回上海（22号地铁线上）
252,9-11月,3-5天,1000以内,朋友,上海/上海科技馆/外滩/海友酒店/人民公园/南京路步行街/和平饭店/东方明珠/复旦大学/豫园/上海老街/人民广场/中山公园/上海大剧院/上海城市规划展示馆/上海博物馆/中华艺术宫
253,9-11月,3-5天,1000-5000,朋友,南京/南京三年后客栈/夫子庙/秦淮人家/瞻园/总统府/中山陵/明孝陵
254,3-5月,1-2天,1000以内,独行,上海元代水闸遗址博物馆
255,6-8月,1-2天,1000以内,朋友,上海/上海国际贵都大饭店/静安寺/豫园/外滩/浦江游览/东方明珠/田子坊/老城隍庙/福佑路/马勒别墅/思南路/静安公园/外白渡桥
256,6-8月,1-2天,1000以内,独行,静安雕塑公园/Aki WorkShop咖啡馆/上海静安嘉里中心/马勒别墅/新天地
257,3-5月,1-2天,10000以上,独行,上海/田子坊/新天地/联艺凯文公寓
258,12-2月,6-8天,1000以内,朋友,大宁国际/CAFE LUGO/上海音乐厅/小区/上海国金中心商场/恒基名人购物中心/宝诗龙恒隆广场店/中环广场/Guess连卡佛店/力宝广场/太平洋百货（淮海店）/环贸iapm/K11购物艺术中心/新天地/世博源
259,其他,3-5天,1000以内,独行,长白山/聚龙泉/长白瀑布/喜来登/汉拿山温泉/上海
260,6-8月,15天以上,10000以上,独行,上海/人民广场/豫园/南京路步行街/外滩/静安寺/外白渡桥/苏州河/黄浦公园/东方明珠/上海环球金融中心/和平饭店
261,6-8月,1-2天,1000以内,独行,上海/大观园
262,3-5月,1-2天,1000以内,情侣/夫妻,上海植物园/上海
263,9-11月,6-8天,1000-5000,独行,乌镇弄堂小院民宿/乌镇--南栅/东栅/西栅/乌镇--黑白/乌镇--梦幻/乌镇--漫画/上海艾森主题酒店/豫园/上海城隍庙/泰晤士小镇/泰晤士小镇--教堂/石库门/教堂/田子坊/上海
264,3-5月,1-2天,1000以内,朋友,自驾交通图/紫海鹭缘爱情主题公园/月老桥/爱情隧道/薰衣草原/湖边/许愿灵/神兽牧场/cs场地/麦田/图腾/白鹭缘/爱情博物馆/情人谷/一小片薰衣草/一大片勿忘我
265,9-11月,9-14天,10000以上,朋友,东方明珠/上海/埃及/开罗/阿斯旺/尼罗河/卢克索/广州/孟菲斯博物馆/孟菲斯/开罗塞米勒米斯洲际酒店/夜游尼罗河/肚皮舞/苏菲舞/国家博物馆/尼罗河谷/菲莱神庙/门农巨像/帝王谷/王后谷/国王谷/希尔顿卢克索Spa度假酒店/索菲特/希尔顿酒店/希尔顿酒店/索菲特/赫尔格达/马尔代夫/红海潜水
266,12-2月,9-14天,1000-5000,朋友,天津/五大道/瓷房子/古文化街/北京/东交民巷/五道营胡同/圆明园/西单/济南/大明湖/五龙潭/泰山/上海/马勒别墅/田子坊/新天地/外滩/上海博物馆/杭州/西湖/灵隐寺/汉庭/鼓楼/南锣鼓巷/雍和宫/趵突泉景区/如家/红门/中天门/静安寺/1933老场坊/白堤/苏堤
267,12-2月,3-5天,1000-5000,朋友,上海/地平线/嘉定区
268,3-5月,15天以上,10000以上,情侣/夫妻,热带风暴/欢乐谷/上海科技馆/上海/锦江乐园/东方绿舟/黄兴公园/共青森林公园/顾村公园/东方明珠/上海海洋水族馆/和平公园/上海野生动物园/上海动物园/上海植物园/浦江游览
269,3-5月,1-2天,1000以内,朋友,上海/方塔/天马山
270,6-8月,1-2天,1000以内,情侣/夫妻,上海/月湖会馆/外滩/上海植物园/九曲桥/欢乐谷
271,6-8月,6-8天,10000以上,父母,上海/长崎/福冈
272,6-8月,1-2天,1000以内,独行,上海/宋庆龄故居纪念馆/巴金故居/上海犹太难民纪念馆/上海图书馆/外滩/老码头/复旦大学
273,3-5月,6-8天,5000-10000,父母,北海道/上海/外滩/南京路步行街/东方明珠/长乐路/人民广场/千岁/札幌/小樽/薄野/狸小路/大通公园/札幌电视塔/天狗山/函馆/小樽运河/圆山公园/登别/白色恋人公园/北海道神宫/藻岩山/北海道大学/五棱郭公园/金森仓库/函馆朝市
274,3-5月,1-2天,1000-5000,情侣/夫妻,上海/田子坊/马勒别墅/思南路/长乐路/滨江大道
275,3-5月,1-2天,1000以内,情侣/夫妻,上海/人民广场/人民公园/外滩/豫园
276,6-8月,1-2天,1000以内,朋友,上海玛雅海滩水公园
277,3-5月,15天以上,10000以上,情侣/夫妻,奥克兰/久事商务大厦/新西兰北岛/新西兰南岛/皇后大街/奥克兰艾伯特公园/奥克兰大学/泰国餐馆，奥克兰/奥克兰城市生活酒店/伊甸山/奥克兰博物馆/奥克兰中央公园/奥克兰威斯特汉/天空塔/The Occidental Belgian Beer Cafe/霍比特村/王子门酒店/蒂普亚地热公园/杭伊饭/政府花园/罗托鲁瓦湖/陶波湖/湖帆汽车旅馆/胡卡瀑布/怀托摩萤火虫洞/Giapo吉尔泼冰淇淋店/基督城/基督城植物园/坎特伯雷博物馆/基督城大教堂/基督城日本料理/阿姆罗斯阁特汽车旅馆/高山景观火车站/阿卡罗阿/普卡基湖/塔斯曼冰川/山峰观景台/芒特拉特卡波湖酒店/蒂卡波镇/好牧羊人教堂/奥马鲁历史区/蒸汽朋克博物馆/奥玛鲁/奥马鲁蓝企鹅保护中心/奥玛鲁汽车旅馆/摩拉基大圆石/奥塔哥大学/但尼丁火车站/第一教堂/圣保罗大教堂/但尼丁公共艺术馆/亚历克西斯汽车旅馆/鲍德温大街/蒂阿瑙湖/Lakeside Motel & Apartments(湖滨汽车旅馆公寓)/英格灵顿大草原/马瑟森湖/猴子溪/米尔福德峡湾/蒂阿瑙湖/箭镇/华人定居点/瓦纳卡湖/Golfcourse Road Chalets(高尔夫球场路德小屋酒店)/格林诺奇/皇后镇/厄恩斯劳号蒸汽船/Platinum Queenstown(皇后镇铂金公寓酒店)/瓦卡蒂普湖/Flame Bar&amp;Grill，皇后镇/Bobt&#39;s Peak/Platinum Queenstown(皇后镇铂金公寓酒店)/新西兰
278,12-2月,1-2天,10000以上,朋友,上海/七宝老街
279,9-11月,15天以上,1000-5000,朋友,天津/山东/上海/无棣/惠民/滨州/商河/济南/大明湖/泰安/泰山/十八盘/枣庄/南京/博客宾馆/明孝陵/中山陵/杭州/昆明/大理/苍山/双廊/丽江/丽江古城/成都
280,9-11月,3-5天,1000以内,独行,上海/昆山/苏州/无锡/常州/丹阳/句容/南京/五河/固镇/永城/夏邑/商丘/民权/开封/郑州/荥阳/如家/金鸡湖/镇江
281,9-11月,3-5天,1000-5000,独行,上海/苏州河/外滩/外白渡桥/上海当代艺术博物馆/斯沃琪和平饭店艺术中心
282,9-11月,6-8天,1000-5000,独行,上海/磁悬浮列车/外滩/外白渡桥/苏州河/南京路步行街/中华艺术宫/城隍庙旅游区/西湖/杭州/雷峰塔/苏堤/白堤/东方明珠
283,6-8月,1-2天,5000-10000,独行,静安雕塑公园
284,6-8月,1-2天,1000-5000,朋友,上海/田子坊/外滩
285,6-8月,1-2天,1000以内,情侣/夫妻,豫园
286,9-11月,1-2天,1000以内,父母,崇明/崇明人家/徐根宝基地/崇明
287,3-5月,15天以上,10000以上,父母,卡普里岛/那不勒斯王宫/米兰大教堂/斯卡拉歌剧院/里亚托桥/圣马可大教堂/总督府/叹息桥/罗马斗兽场/君士坦丁凯旋门/但丁故居/乔托钟楼/圣母百花大教堂/三白酒作坊/宏源泰染坊/老邮局/江南百床馆/江南民俗馆/西栅露天电影/乌尤山/麻浩崖墓/东方佛都/安澜索桥/湖广会馆/渔乐岛/阅江楼/“西部之光”陕西广播电视塔/回龙阁吊脚楼/沱江/苏州乐园/文昌阁/什刹海酒吧街/白鹭洲公园/枫泾古镇/上海鲜花港/古猗园/武康路/武康大楼/亚龙湾蝴蝶谷/鹿回头风情园/白鹭公园/南山文化旅游区/南山海上观音
288,6-8月,9-14天,5000-10000,父母,上海/西塘/乌镇/周庄/无锡/田子坊/外滩/复旦大学/新天地/东方明珠/1933老场坊/东林书院/上海老陕客栈/豫园/外白渡桥/万信酒店/永宁桥/西栅/《四季周庄》/古戏台/张厅/沈厅/7天/静安寺/上海博物馆
289,3-5月,1-2天,1000以内,独行,1933老场坊
290,3-5月,1-2天,1000以内,朋友,方塔/七宝老街
291,9-11月,1-2天,5000-10000,独行,陈行公园
292,9-11月,9-14天,10000以上,情侣/夫妻,希腊/上海/雅典/圣托里尼/Athens Center Square/雅典中心广场酒店/宪法广场/天蝎座海滩酒店/Thirea Suites/Kokkinos Villas/科基诺斯别墅酒店/奥林匹亚/狼山/宙斯神庙/哈德良图书馆/蓝顶教堂/圣托里尼岛/红沙滩
293,12-2月,3-5天,10000以上,独行,上海/上海和平饭店/外滩/上海自然博物馆/外白渡桥
294,其他,1-2天,1000-5000,朋友,上海/新天地/田子坊/静安雕塑公园
295,6-8月,3-5天,10000以上,朋友,黄龙/成都/若尔盖/九寨沟/广州/川主寺/金珠林卡度假酒店/《藏谜》/树正沟/日则沟/原始森林/天鹅海/芳草海/箭竹海/熊猫海/熊猫海瀑布/五花海/珍珠滩/珍珠滩瀑布/镜海/上、下季节海/长海/五彩池/老虎海/树正瀑布/树正群海/卧龙海/火花海/雪宝鼎/黄龙寺
296,3-5月,1-2天,5000-10000,朋友,上海/静安寺
297,9-11月,3-5天,1000-5000,情侣/夫妻,辽源/长春/伪满皇宫博物院/如家快捷酒店（长春人民大街平泉路店）/文化广场
298,9-11月,1-2天,1000以内,朋友,滴水湖
299,9-11月,1-2天,1000以内,朋友,藏珑坊
300,6-8月,3-5天,1000-5000,父母,上海/松江/青岛/连云港/日照/日照志成渔家旅馆/深蓝复式/劈柴院/崂山/中山公园/连云港港口/任家台/春和楼/栈桥/信号山公园/八大关/青岛邮电博物馆/胶州/迎宾馆
301,12-2月,1-2天,1000-5000,朋友,水货餐厅/鑫安坊/御香海(虹桥店)/弗拉明戈万国手工啤酒餐厅/麦西来普/信记牛腩面/查厘士/尚品签成都串串料理(宝山万达店)
302,3-5月,15天以上,1000以内,独行,上海/顾村公园/大宁灵石公园/世纪公园/静安公园/黄兴公园/苏州河/梦清园/外滩
303,12-2月,1-2天,1000以内,情侣/夫妻,上海瑞金洲际酒店/上海
304,9-11月,1-2天,1000以内,朋友,上海影视乐园
305,3-5月,9-14天,10000以上,情侣/夫妻,济州岛/首尔/上海/青岛/城隍庙/南京路步行街/外滩/外白渡桥/田子坊/龙头岩/牛岛/雪绿茶博物馆/中文观光区/泰迪熊博物馆/中文旅游区/新罗免税店/明洞/乱打秀/景福宫/仁寺洞/北村韩屋村/三清洞/狎鸥亭/新沙洞/昌德宫/宗庙/南山缆车/五四广场/劈柴院/第二海水浴场/八大关/花石楼/栈桥/小青岛/鲁迅公园
306,3-5月,1-2天,5000-10000,朋友,鲜墙房（虹桥店）
307,6-8月,1-2天,1000以内,朋友,上海/欢乐谷/佘山国家森林公园/上海辰山植物园/松江/佘山天主教堂/西佘山园/森林宾馆
308,3-5月,1-2天,1000以内,独行,1933老场坊
309,其他,1-2天,1000以内,父母,上海辰山植物园
310,6-8月,1-2天,1000以内,独行,上海新国际博览中心
311,12-2月,1-2天,5000-10000,朋友,枫泾古镇/上海
312,9-11月,1-2天,1000以内,情侣/夫妻,上海/世纪公园
313,6-8月,1-2天,1000以内,朋友,凯乐文地中海餐厅/凯乐文地中海餐厅
314,6-8月,1-2天,1000以内,父母,小辉哥火锅(正大乐城店)
315,3-5月,1-2天,1000以内,独行,一天下
316,6-8月,1-2天,1000以内,朋友,上海/东方明珠/外滩
317,3-5月,3-5天,1000-5000,朋友,常熟/苏州/沙家浜/上海/金海华丽嘉酒店/阳澄湖/拂水山庄/尚湖风景区/蒋巷村/虞山公园/东山/芦苇荡/无锡/上海体育场/王四酒家
318,6-8月,1-2天,1000以内,情侣/夫妻,西沙湿地公园/荷花博览园/明珠湖公园/崇明西岸氧吧农家乐/崇明西岸氧吧农家乐
319,3-5月,1-2天,1000以内,朋友,上海/外滩/太阳岛/上海太阳岛度假酒店/朱家角/青浦/东方绿舟
320,9-11月,1-2天,1000以内,朋友,1
321,9-11月,6-8天,1000-5000,朋友,外滩/上海城隍庙/豫园/外白渡桥/田子坊/上海迪士尼度假区/淮海路/上海交通大学/上海图书馆/东栅/西栅/西湖/西湖音乐喷泉/西泠印社/白堤/灵隐寺
322,6-8月,1-2天,1000以内,朋友,上海市延安西路719号
323,9-11月,3-5天,1000以内,朋友,静安嘉里中心/晶吕/DazzlingCafe（芮欧百货店）/徐汇艺术馆/安福路/华山路/巨鹿路/吉米记车仔面/环贸iapm/湖南路/巴金故居/武康路/武康庭/武康大楼/宋庆龄故居纪念馆/淮海中路/徐家汇公园/衡山路/百代小红楼/徐家汇/美罗城/湄公河越南餐厅/上海交通大学/钱学森图书馆
324,9-11月,1-2天,1000以内,朋友,四川北路商业街/元世祖涮羊肉(四川北路店)
325,6-8月,1-2天,1000以内,朋友,中信广场/唛西唻普西域风味餐厅
326,3-5月,6-8天,1000-5000,朋友,上海/杭州/西湖/西塘/海友酒店（杭州吴山广场店）/清河坊街/上海博物馆/南京路步行街/东方明珠/外滩/豫园/外白渡桥/田子坊/泰晤士小镇/古漪园/白堤/平湖秋月/三潭印月/雷峰塔/南屏晚钟/苏堤/灵隐寺/石皮弄/种福堂/尊闻堂/南翔古镇/人民公园
327,3-5月,15天以上,10000以上,独行,百龙天梯/甲秀楼/长白山北坡景区/冲古寺/央迈勇/仙乃日/卢浦大桥/自古华山一条路/河南博物院/共青国家森林公园/西千佛洞/汉长城/敦煌石窟艺术保护研究陈列中心/东北虎林园/南天门/十八盘/南天门/宗角禄康公园/小昭寺/宽窄巷子
328,9-11月,6-8天,1000以内,朋友,上海世纪大道/世纪公园/陆家嘴中心绿地/家里/戴家祠堂，诸暨马剑/马剑镇/诸暨 莲花庵/诸暨同方豪生大酒店/西施故里/S60高速公路/小木屋闲庄，上海，奉贤
329,9-11月,1-2天,5000-10000,情侣/夫妻,张闻天故居
330,6-8月,3-5天,10000以上,朋友,黄龙/成都/若尔盖/九寨沟/川主寺/金珠林卡度假酒店/《藏谜》/树正沟/日则沟/原始森林/天鹅海/芳草海/箭竹海/熊猫海/熊猫海瀑布/五花海/珍珠滩/珍珠滩瀑布/镜海/上、下季节海/长海/五彩池/老虎海/树正瀑布/树正群海/卧龙海/火花海/雪宝鼎/黄龙寺
331,6-8月,3-5天,10000以上,父母,成都/若尔盖/九寨沟/川主寺/金珠林卡度假酒店/《藏谜》/树正沟/日则沟/原始森林/天鹅海/芳草海/箭竹海/熊猫海/熊猫海瀑布/五花海/珍珠滩/珍珠滩瀑布/镜海/上、下季节海/长海/五彩池/老虎海/树正瀑布/树正群海/卧龙海/火花海/雪宝鼎/黄龙寺
332,9-11月,1-2天,1000以内,朋友,上海博物馆
333,6-8月,3-5天,1000-5000,情侣/夫妻,上海/舟山/苏州/同里/外滩/金山区/豫园/人民广场/枸杞岛/东极岛/摩天轮乐园/泰晤士小镇
334,6-8月,3-5天,10000以上,独行,上海/世纪公园/磁悬浮列车/上海博物馆/人民广场/南京路步行街/外滩/东方明珠/徐家汇天主教堂/上海交通大学/七宝老街/中华艺术宫/复旦大学/新天地/上海老街
335,12-2月,1-2天,1000以内,朋友,崇明/瀛东村/上海科技馆/上海
336,9-11月,1-2天,1000以内,情侣/夫妻,韩湘水博园
337,3-5月,1-2天,1000以内,朋友,上海/上海电影博物馆/上海琉璃艺术博物馆/田子坊/苏州河/孙中山故居纪念馆/淮海路/思南路/复兴公园/上海邮政博物馆
338,9-11月,1-2天,1000以内,朋友,捞味锅物料理(四川北路塘沽路店)
339,6-8月,1-2天,1000以内,情侣/夫妻,美琪大戏院/玉佛寺/上海
340,其他,1-2天,1000以内,朋友,枫泾古镇/上海/朱家角/南翔古镇/新场古镇/召稼楼/崇明/北大街/丁聪漫画陈列馆/大清邮局
341,6-8月,1-2天,1000以内,朋友,上海动物园/上海
342,12-2月,3-5天,5000-10000,独行,上海/松江/复旦大学/东华大学/华东政法大学/奉贤/上海交通大学/华山路/思南路/滴水湖
343,3-5月,3-5天,5000-10000,情侣/夫妻,杭州/灵隐寺/西湖/断桥残雪/白堤/雷峰塔/乌镇/东栅/西栅/上海/外滩
344,6-8月,15天以上,10000以上,独行,金鸡湖/苏州/杭州32号猫窝风情酒店/杭州/西湖/外滩/上海/南京/拙政园/雷峰塔/武康路/夫子庙/苏州凯莱酒店/猫的天空之城概念书店/山塘街/外白渡桥/人民广场/浦江游览/豫园/新天地/东方明珠/上海环球金融中心/老码头/淮海路/静安寺/波特曼/玉佛寺/福州路文化街/宜兰贵斯/陆家嘴中心绿地/沐恩堂/南京瞻园国际青年旅舍/南京博物院/南京长江二桥/南京八卦洲假日山庄/燕子矶公园
345,6-8月,1-2天,1000以内,朋友,王品台塑牛排（正大广场店）/天鹅申阁
346,6-8月,1-2天,1000以内,独行,古猗园/上海
347,9-11月,1-2天,1000以内,独行,奉贤
348,3-5月,6-8天,10000以上,独行,盛泽/吴江/庙港/宜兴/无锡/灵山胜境/鼋头渚/影视基地/西山/东山/嘉善/嘉兴/上海/南湖/丁蜀镇/灵山大佛/水浒城/三国城/灵山/苏州/缥缈峰/雕花楼/罗汉寺/陆巷古村/国际会议中心/启园/廊下生态园
349,9-11月,1-2天,1000-5000,朋友,上海/新场古镇/芦潮港/滴水湖/朱家角
350,6-8月,3-5天,10000以上,父母,成都/若尔盖/九寨沟/川主寺/金珠林卡度假酒店/《藏谜》/树正沟/日则沟/原始森林/天鹅海/芳草海/箭竹海/熊猫海/熊猫海瀑布/五花海/珍珠滩/珍珠滩瀑布/镜海/上、下季节海/长海/五彩池/老虎海/树正瀑布/树正群海/卧龙海/火花海/雪宝鼎/黄龙寺/清真寺
351,6-8月,3-5天,10000以上,朋友,黄龙/成都/若尔盖/九寨沟/川主寺/金珠林卡度假酒店/《藏谜》/树正沟/日则沟/原始森林/天鹅海/芳草海/箭竹海/熊猫海/熊猫海瀑布/五花海/珍珠滩/珍珠滩瀑布/镜海/上、下季节海/长海/五彩池/老虎海/树正瀑布/树正群海/卧龙海/火花海/雪宝鼎/黄龙寺
